Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
waist1,crf_6_anthropometry,,text,[6.8] Waist circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,40,150,,,y,,[6.8],,,,Waist circumference (cm to nearest 0.1 cm),6.8
waist2,crf_6_anthropometry,,text,[6.8] Waist circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,40,150,,,y,,[6.8],,,,Waist circumference (cm to nearest 0.1 cm),6.8
waist3,crf_6_anthropometry,,text,[6.8] Waist circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,40,150,,abs([waist1]-[waist2]) >0.5,y,,[6.8],,,,Waist circumference (cm to nearest 0.1 cm),6.8
waist_unit,crf_6_anthropometry,,radio,Unit of Measurement,"1, cm | 2, in",,,,,,,,RH,,,,@DEFAULT='1' @HIDDEN,Unit of Measurement,
desc_hip,crf_6_anthropometry,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Hip circumference</span></div>",descriptive,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Hip circumference in cm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{hip1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{hip2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{hip3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the hip circumference to the nearest 0.1 cm</span></p>",,,,,,,,,,,,,,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Hip circumference in cm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{hip1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{hip2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{hip3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the hip circumference to the nearest 0.1 cm</span></p>",
hip1,crf_6_anthropometry,,text,[6.9] Hip circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,50,150,,,y,,[6.9],,,,Hip circumference (cm to nearest 0.1 cm),6.9
hip2,crf_6_anthropometry,,text,[6.9] Hip circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,50,150,,,y,,[6.9],,,,Hip circumference (cm to nearest 0.1 cm),6.9
hip3,crf_6_anthropometry,,text,[6.9] Hip circumference (cm to nearest 0.1 cm),,(cm to nearest 0.1 cm),number_1dp,50,150,,abs([hip1]-[hip2]) >0.5,y,,[6.9],,,,Hip circumference (cm to nearest 0.1 cm),6.9
hip_unit,crf_6_anthropometry,,radio,Unit of Measurement,"1, cm | 2, in",,,,,,,,RH,,,,@DEFAULT='1' @HIDDEN,Unit of Measurement,
desc_triceps,crf_6_anthropometry,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Triceps circumference</span></div>",descriptive,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Triceps skinfold in mm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{triceps1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{triceps2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{triceps3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the triceps skinfold to the nearest mm</span></p>",,,,,,,,,,,,,,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Triceps skinfold in mm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{triceps1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{triceps2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{triceps3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the triceps skinfold to the nearest mm</span></p>",
triceps1,crf_6_anthropometry,,text,[6.10] Triceps skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,,y,,[6.10],,,,Triceps skinfold (mm to nearest mm),6.1
triceps2,crf_6_anthropometry,,text,[6.10] Triceps skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,,y,,[6.10],,,,Triceps skinfold (mm to nearest mm),6.1
triceps3,crf_6_anthropometry,,text,[6.10] Triceps skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,abs([triceps1]-[triceps2]) >0.2,y,,[6.10],,,,Triceps skinfold (mm to nearest mm),6.1
triceps_unit,crf_6_anthropometry,,radio,Unit of Measurement,"1, mm | 2, cm",,,,,,,,RH,,,,@DEFAULT='1' @HIDDEN,Unit of Measurement,
desc_subscap,crf_6_anthropometry,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Subscapular skinfold</span></div>",descriptive,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Subscapular skinfold in mm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{subscap1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{subscap2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{subscap3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the subscapular skinfold to the nearest mm</span></p>",,,,,,,,,,,,,,"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 17.395%;"">Measurement</td> <td style=""width: 78.5818%;"">Subscapular skinfold in mm</td> </tr> <tr> <td style=""width: 17.395%;"">1</td> <td style=""width: 78.5818%;"">{subscap1:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">2</td> <td style=""width: 78.5818%;"">{subscap2:icons}</td> </tr> <tr> <td style=""width: 17.395%;"">3</td> <td style=""width: 78.5818%;"">{subscap3:icons}</td> </tr> </tbody> </table> <p><span style=""color: red; font-weight: normal;"">Note: Measure the subscapular skinfold to the nearest mm</span></p>",
subscap1,crf_6_anthropometry,,text,[6.11] Subscapular skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,,y,,[6.11],,,,Subscapular skinfold (mm to nearest mm),6.11
subscap2,crf_6_anthropometry,,text,[6.11] Subscapular skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,,y,,[6.11],,,,Subscapular skinfold (mm to nearest mm),6.11
subscap3,crf_6_anthropometry,,text,[6.11] Subscapular skinfold (mm to nearest mm),,(mm to nearest mm),number,2,50,,abs([subscap1]-[subscap2]) >0.2,y,,[6.11],,,,Subscapular skinfold (mm to nearest mm),6.11
subscap_unit,crf_6_anthropometry,,radio,Unit of Measurement,"1, mm | 2, cm",,,,,,,,RH,,,,@DEFAULT='1' @HIDDEN,Unit of Measurement,
anthro_prob,crf_6_anthropometry,,text,[6.12] Comment on any problems with anthropometry,,,,,,,,y,,[6.12],,,,Comment on any problems with anthropometry,6.12
desc_text_adult,crf_6_anthropometry,,descriptive,"<div class=""red"" style=""text-align: left;""><br /> <p style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;"">Adult cohorts can stop here. For DIVIDS and SAM Lusaka we also need to know pubertal state. </p> </div>",,,,,,,,,,,,,,"<div class=""red"" style=""text-align: left;""><br /> <p style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;"">Adult cohorts can stop here. For DIVIDS and SAM Lusaka we also need to know pubertal state. </p> </div>",
menstruate,crf_6_anthropometry,,radio,[6.13] Has she started menstruating yet?,"0, No | 1, Yes | -97,Don't know | -98,Refused",,,,,,([cohort]='1' and [sex]='2') or ([cohort]='2' and [sex]='2'),y,,[6.13],,,,Has she started menstruating yet?,6.13
menst_month,crf_6_anthropometry,,text,"[6.14] If yes, how many months since she started? If unsure, an approximate answer is okay.  Use missing code (-98) if she doesn’t want to say.",,,,,,,([cohort]='1' and [sex]='2') or ([cohort]='2' and [sex]='2'),y,,[6.14],,,,"If yes, how many months since she started? If unsure, an approximate answer is okay.  Use missing code (-98) if she doesn’t want to say.",6.14
tanner,crf_6_anthropometry,,radio,"[6.15] Tanner stage Mark 1, 2, 3, 4, or 5 if known","1,1 | 2,2 | 3,3 | 4,4 | 5,5 | 9,9| -97,Don't know | -98,Refused",,,,,,([cohort]='1' and [sex]='1') or ([cohort]='2' and [sex]='1'),y,,[6.15],,,,"Tanner stage Mark 1, 2, 3, 4, or 5 if known",6.15
tanner_method,crf_6_anthropometry,,radio,[6.16] Method used to determine Tanner stage,"1,Direct observation by study staff | 2,Boy pointed to the diagram which represents his stage",,,,,,([cohort]='1' and [sex]='1') or ([cohort]='2' and [sex]='1'),y,,[6.16],,,,Method used to determine Tanner stage,6.16
personnel7,crf_7_body_composition,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp7,crf_7_body_composition,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf7,crf_7_body_composition,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
clinic_date_body,crf_7_body_composition,,text,[7.1] Date of clinic visit,,,date_dmy,,,,,y,,[7.1],,,,Date of clinic visit,7.1
bia,crf_7_body_composition,Bioelectrical Impedance,radio,[7.2] Was bioelectrical impedance done?,"0, No | 1, Yes | -100,Pending | -102,Absconded | -103, Equipment NA ",,,,,,,y,,[7.2],,,,Was bioelectrical impedance done?,7.2
fm_kg,crf_7_body_composition,,text,[7.3] BIA fat mass in kg to nearest 0.1 kg,,,number_1dp,0,140,,[bia]='1',y,,[7.3],,,,BIA fat mass in kg to nearest 0.1 kg,7.3
ffm_kg,crf_7_body_composition,,text,[7.4] BIA fat-free mass in kg to nearest 0.1 kg,,,number_1dp,0,140,,[bia]='1',y,,[7.4],,,,BIA fat-free mass in kg to nearest 0.1 kg,7.4
fm_per,crf_7_body_composition,,text,[7.5] BIA fat mass percent to 0.1 %,,,number_1dp,0,100,,[bia]='1',y,,[7.5],,,,BIA fat mass percent to 0.1 %,7.5
ffm_per,crf_7_body_composition,,text,[7.6] BIA fat-free mass percent to 0.1%,,,number_1dp,0,100,,[bia]='1',y,,[7.6],,,,BIA fat-free mass percent to 0.1%,7.6
impedance,crf_7_body_composition,,text,[7.7] Total body impedance if the machine provides it; leave blank if not,,,number,,,,[bia]='1',y,,[7.7],,,,Total body impedance if the machine provides it; leave blank if not,7.7
bia_prob,crf_7_body_composition,,radio,[7.8] Were there any problems with the BIA?,"0, No | 1, Yes | -100,Pending | -102,Absconded | -103, Equipment NA ",,,,,,[bia]='1',y,,[7.8],,,,Were there any problems with the BIA?,7.8
bia_comment,crf_7_body_composition,,text,"[7.9] If there were problems, briefly describe",,,,,,,[bia]='1' and [bia_prob]='1',y,,[7.9],,,,"If there were problems, briefly describe",7.9
desc_text_lusaka,crf_7_body_composition,,descriptive,"<div class=""red"" style=""text-align: left;""><br /> <p style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;"">Only Lusaka has a BodPod so other sites can stop here. </p> </div>",,,,,,,,,,,,,,"<div class=""red"" style=""text-align: left;""><br /> <p style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;"">Only Lusaka has a BodPod so other sites can stop here. </p> </div>",
adp,crf_7_body_composition,BodPod,radio,"[7.10] Was air displacement plethysmography (BodPod) done? 

BodPod should be done for all adults but children who seem unwilling or who in the nurse’s view are unlikely to be able to keep still should not bother with it.
","0, No | 1, Yes | -100,Pending | -102,Absconded | -103, Equipment NA ",,,,,,[cohort]='2' or [cohort]='4',y,,[7.10],,,,"Was air displacement plethysmography (BodPod) done? 

BodPod should be done for all adults but children who seem unwilling or who in the nurse’s view are unlikely to be able to keep still should not bother with it.
",7.1
adpfm_kg,crf_7_body_composition,,text,[7.11] ADP fat mass in kg to nearest 0.1 kg,,,number_1dp,1,100,,([cohort]='2' or [cohort]='4') and [adp]='1',y,,[7.11],,,,ADP fat mass in kg to nearest 0.1 kg,7.11
adpffm_kg,crf_7_body_composition,,text,[7.12] ADP fat-free mass in kg to nearest 0.1 kg,,,number_1dp,1,100,,([cohort]='2' or [cohort]='4') and [adp]='1',y,,[7.12],,,,ADP fat-free mass in kg to nearest 0.1 kg,7.12
adpfm_per,crf_7_body_composition,,text,[7.13] ADP fat mass percent to 0.1 %,,,number_1dp,1,100,,([cohort]='2' or [cohort]='4') and [adp]='1',y,,[7.13],,,,ADP fat mass percent to 0.1 %,7.13
adpffm_per,crf_7_body_composition,,text,[7.14] ADP fat-free mass percent to 0.1%,,,number_1dp,1,100,,([cohort]='2' or [cohort]='4') and [adp]='1',y,,[7.14],,,,ADP fat-free mass percent to 0.1%,7.14
adp_prob,crf_7_body_composition,,radio,"[7.15] Were there any problems with the BodPod, e.g. child could not keep still enough?","0, No | 1, Yes | -100,Pending | -102,Absconded | -103, Equipment NA ",,,,,,([cohort]='2' or [cohort]='4') and [adp]='1',y,,[7.15],,,,"Were there any problems with the BodPod, e.g. child could not keep still enough?",7.15
adp_comment,crf_7_body_composition,,text,"[7.16] If there were problems, briefly describe",,,,,,,([cohort]='2' or [cohort]='4') and [adp]='1' and [adp_prob]='1',y,,[7.16],,,,"If there were problems, briefly describe",7.16
personnel11,crf_11a_urine_and_feces_collection,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp11,crf_11a_urine_and_feces_collection,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf11,crf_11a_urine_and_feces_collection,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
clinic_date_urine_feces,crf_11a_urine_and_feces_collection,,text,[11.1] Date of clinic visit,,,date_dmy,,,,,y,,[11.1],,,,Date of clinic visit,11.1
urine,crf_11a_urine_and_feces_collection,,radio,[11.2] Did the participant provide a urine sample during the clinic visit?,"0, No | 1, Yes | -98,Refused |  -100,Pending",,,,,,,y,,[11.2],,,,Did the participant provide a urine sample during the clinic visit?,11.2
urine_collect_dt,crf_11a_urine_and_feces_collection,,text,[11.1] Date of urine collection by participant,,,date_dmy,,,,[urine]='1',y,,[11.1],,,,Date of urine collection by participant,11.1
urine_time,crf_11a_urine_and_feces_collection,,text,At about what time was the urine sample collected? Use 24-hour clock,,,time,,,,[urine]='1',y,,,,,"@PLACEHOLDER=""00:00""",At about what time was the urine sample collected? Use 24-hour clock,
urine_ali_q,crf_11a_urine_and_feces_collection,,text,Urine Aliquot Q,,,,,,,[urine]='1',,,,,,@BARCODE-APP,Urine Aliquot Q,
urine_ali_r,crf_11a_urine_and_feces_collection,,text,Urine Aliquot R,,,,,,,[urine]='1',,,,,,@BARCODE-APP,Urine Aliquot R,
feces,crf_11a_urine_and_feces_collection,,radio,"[11.10] Did the participant provide a fecal sample during the clinic visit?
","1,Provided one during the visit | 2,Brought one from home | 3,No sample | -98,Refused |  -100,Pending",,,,,,,y,,[11.10],,,,"Did the participant provide a fecal sample during the clinic visit?
",11.1
flag_feces,crf_11a_urine_and_feces_collection,,calc,Flag Feces Collection,"if([feces]='','',
if([feces]='1','1',
if([feces]='2','1',
if([feces]='3','0',[feces]))))",,,,,,,,,,,,@HIDDEN,Flag Feces Collection,
feces_collect_dt,crf_11a_urine_and_feces_collection,,text,Date of fecal collection by participant,,,date_dmy,,,,[flag_feces]='1',,,,,,,Date of fecal collection by participant,
feces_time,crf_11a_urine_and_feces_collection,,text,[11.11] At about what time was the fecal sample collected? Use 24-hour clock,,,time,,,,[flag_feces]='1',y,,[11.11],,,"@PLACEHOLDER=""00:00""",At about what time was the fecal sample collected? Use 24-hour clock,11.11
feces_ali_s,crf_11a_urine_and_feces_collection,,text,Feces Aliquot S,,,,,,,[flag_feces]='1',,,,,,@BARCODE-APP,Feces Aliquot S,
feces_ali_t,crf_11a_urine_and_feces_collection,,text,Feces Aliquot T,,,,,,,[flag_feces]='1',,,,,,@BARCODE-APP,Feces Aliquot T,
feces_ali_u,crf_11a_urine_and_feces_collection,,text,Feces Aliquot U,,,,,,,[flag_feces]='1',,,,,,@BARCODE-APP,Feces Aliquot U,
feces_temp,crf_11a_urine_and_feces_collection,,radio,"[11.12] Was the sample brought from home kept on ice or otherwise kept cool in transit? Note that if the ambient temperature is low, e.g. below 10<span style=""vertical-align: super; font-size: smaller;"">o</span>C, that counts as cool.","0, No | 1, Yes ",,,,,,[feces]='2',y,,[11.12],,,,"Was the sample brought from home kept on ice or otherwise kept cool in transit? Note that if the ambient temperature is low, e.g. below 10<span style=""vertical-align: super; font-size: smaller;"">o</span>C, that counts as cool.",11.12
desc_text_nosample,crf_11a_urine_and_feces_collection,,descriptive,"<div class=""red"" style=""text-align: left;"">
If neither a home sample from the morning of the visit or a sample in the clinic is possible, then the researcher in the clinic should make arrangements for the participant to bring a sample to the clinic within a week or for the study team to pick up one from the participant’s home, depending on transport and other logistics.
</div>",,,,,,,[feces]='3',,,,,,,"<div class=""red"" style=""text-align: left;"">
If neither a home sample from the morning of the visit or a sample in the clinic is possible, then the researcher in the clinic should make arrangements for the participant to bring a sample to the clinic within a week or for the study team to pick up one from the participant’s home, depending on transport and other logistics.
</div>",
feces_date,crf_11a_urine_and_feces_collection,,text,[11.13] Date arranged for fecal sample if none provided at the main clinic visit,,,date_dmy,,,,[feces]='3',y,,[11.13],,,,Date arranged for fecal sample if none provided at the main clinic visit,11.13
feces_mode,crf_11a_urine_and_feces_collection,,radio,"On this date of next feces collection, will the participant bring it to the clinic or does it need to be picked up?","1,Will bring to clinic| 2, Staff need to collect it",,,,,,[feces]='3',,,,,,,"On this date of next feces collection, will the participant bring it to the clinic or does it need to be picked up?",
personnel111,crf_11b_urine_and_feces_results,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp111,crf_11b_urine_and_feces_results,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf111,crf_11b_urine_and_feces_results,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
u_collect,crf_11b_urine_and_feces_results,Urinalysis,radio,[11.14] Urine collected?,"0, No | 1, Yes  | -98,Refused |  -100,Pending |  -102,Absconded | -103, Equipment NA",,,,,,,y,,[11.14],,,@DEFAULT='[urine:value]',Urine collected?,11.14
u_leucs,crf_11b_urine_and_feces_results,,radio,[11.3] Leucocytes,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.3],,,,Leucocytes,11.3
u_gluc,crf_11b_urine_and_feces_results,,radio,[11.4] Urine glucose,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.4],,,,Urine glucose,11.4
u_ketone,crf_11b_urine_and_feces_results,,radio,[11.5] Urine ketones,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.5],,,,Urine ketones,11.5
u_prot,crf_11b_urine_and_feces_results,,radio,[11.6] Urine protein,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.6],,,,Urine protein,11.6
u_nitrite,crf_11b_urine_and_feces_results,,radio,[11.7] Urine nitrite,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.7],,,,Urine nitrite,11.7
u_blood,crf_11b_urine_and_feces_results,,radio,[11.8] Urine blood,"0,0  | 1,+  | 2,++  | 3,+++ ",,,,,,[u_collect]='1',y,,[11.8],,,,Urine blood,11.8
urine_problem,crf_11b_urine_and_feces_results,,text,"[11.9] Indicate any problem with urine collection or dipstick analysis, e.g. if woman was currently menstruating",,,,,,,[u_collect]='1',y,,[11.9],,,,"Indicate any problem with urine collection or dipstick analysis, e.g. if woman was currently menstruating",11.9
feces_collect,crf_11b_urine_and_feces_results,Fecalysis,radio,[11.14] Feces collected?,"0, No | 1, Yes  | -98,Refused |  -100,Pending |  -102,Absconded | -103, Equipment NA",,,,,,,y,,[11.14],,,@DEFAULT='[flag_feces:value]',Feces collected?,11.14
fecal_elastase,crf_11b_urine_and_feces_results,,text,[11.16] Fecal Elastase,,Measured in mcg/g,,,,,[feces_collect]='1',,,[11.16],,,,Fecal Elastase,11.16
feces_problem,crf_11b_urine_and_feces_results,,text,[11.15] Indicate any problem with fecal collection ,,,,,,,,y,,[11.15],,,,Indicate any problem with fecal collection ,11.15
personnel41,crf_4b_repeat_ogtt,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp41,crf_4b_repeat_ogtt,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
